permission,protection_level,orginal
android.permission.BACKUP,signatureOrSystem
android.permission.SET_TIME,signatureOrSystem
android.permission.STATUS_BAR_SERVICE,signature
android.permission.INSTALL_PACKAGES,signatureOrSystem
android.permission.PERFORM_CDMA_PROVISIONING,signatureOrSystem
android.permission.SET_POINTER_SPEED,signature
com.android.browser.permission.PRELOAD,signatureOrSystem
android.permission.CALL_PRIVILEGED,signatureOrSystem
android.permission.CHANGE_COMPONENT_ENABLED_STATE,signatureOrSystem
android.permission.WRITE_GSERVICES,signatureOrSystem
android.permission.MANAGE_NETWORK_POLICY,signature
android.permission.BIND_WALLPAPER,signatureOrSystem
android.permission.BIND_REMOTEVIEWS,signatureOrSystem
android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY,signature
android.permission.ACCESS_ALL_EXTERNAL_STORAGE,signature
android.permission.CHANGE_CONFIGURATION,signatureOrSystem
android.permission.WAKE_LOCK,normal
com.google.android.xmpp.permission.USE_XMPP_ENDPOINT,signature
com.google.android.permission.BROADCAST_DATA_MESSAGE,signatureOrSystem
com.google.android.gtalkservice.permission.SEND_HEARTBEAT,signatureOrSystem
com.google.android.c2dm.permission.SEND,signatureOrSystem
com.google.android.xmpp.permission.XMPP_ENDPOINT_BROADCAST,signatureOrSystem
android.permission.CHANGE_NETWORK_STATE,normal
com.google.android.xmpp.permission.SEND_RECEIVE,signature
android.permission.RECEIVE_DATA_ACTIVITY_CHANGE,signatureOrSystem
com.google.android.xmpp.permission.BROADCAST,signatureOrSystem
com.google.android.c2dm.permission.RECEIVE,normal
android.permission.MODIFY_AUDIO_SETTINGS,normal
android.permission.WRITE_SYNC_SETTINGS,normal
android.permission.REORDER_TASKS,normal
android.permission.PERSISTENT_ACTIVITY,normal
com.android.launcher.permission.UNINSTALL_SHORTCUT,dangerous
android.permission.WRITE_DREAM_STATE,signature
android.permission.NET_TUNNELING,signature
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,signatureOrSystem
android.permission.BLUETOOTH_STACK,signature
android.permission.BATTERY_STATS,dangerous
android.permission.MOUNT_FORMAT_FILESYSTEMS,signatureOrSystem
android.permission.MANAGE_USERS,signatureOrSystem
android.permission.INTERACT_ACROSS_USERS,signatureOrSystem
com.android.launcher.permission.INSTALL_SHORTCUT,dangerous
android.permission.INTERACT_ACROSS_USERS_FULL,signature
android.permission.WRITE_SETTINGS,normal
android.permission.READ_DREAM_STATE,signature
android.permission.SET_TIME_ZONE,normal
com.google.android.gtalkservice.permission.GTALK_SERVICE,signature
com.google.android.providers.talk.permission.READ_ONLY,dangerous
com.google.android.providers.talk.permission.WRITE_ONLY,dangerous
android.permission.BIND_KEYGUARD_APPWIDGET,signatureOrSystem
android.permission.BIND_DIRECTORY_SEARCH,signatureOrSystem
com.google.android.gms.permission.ACTIVITY_RECOGNITION,normal
com.google.android.googleapps.permission.GOOGLE_AUTH.android,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.orkut,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.ah,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.doraemon,normal
com.google.android.googleapps.permission.GOOGLE_AUTH.lh2,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH,normal
com.google.android.googleapps.permission.GOOGLE_AUTH.wise,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.speechpersonalization,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.notebook,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.sierra,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.groups2,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.goanna_mobile,normal
com.google.android.googleapps.permission.GOOGLE_AUTH.knol,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.blogger,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.sierraqa,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.speech,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.health,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.sierrasandbox,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.writely,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.print,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.news,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.androidsecure,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.ig,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.talk,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.youtube,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.jotspot,dangerous
com.google.android.googleapps.permission.GOOGLE_AUTH.dodgeball,dangerous
com.google.android.providers.gsf.permission.READ_GSERVICES,normal
